Table S2.  Variable importance for cell cycle phase and age determined by random forest modeling.,,,,,,,,
,,,,,,,,
,Phase predictions,,,,,Age predictions,,Combined rank
Int_Med_pRB_nuc,8.374246024,9.25375976,8.500841212,8.709615665,20,21.64175281,23,21.5
Int_Med_cycB1_nuc,6.638866044,11.54914993,6.806071844,8.331362607,23,22.9032525,22,22.5
Int_Med_p27_nuc,14.70560118,9.488711143,7.394392803,10.52956838,14,16.90406623,31,22.5
Int_Med_ERK_nuc,6.52617417,8.620578193,8.302848376,7.816533579,30,24.53534725,19,24.5
Int_Med_pp53_nuc,7.682739619,5.180711308,9.793377263,7.552276063,34,27.79689867,18,26
Int_Med_S6_nuc,8.817885821,6.538585228,10.7476585,8.701376516,21,14.64518149,39,30
Int_MeanEdge_cycB1_cell,3.730781548,7.189864365,10.19909618,7.039914032,44,23.55350442,20,32
Int_Med_pp21_nuc,7.781976547,7.995908761,7.370321502,7.716068937,31,16.55994301,33,32
Int_Med_CDK2_nuc,8.774730469,8.974740166,6.092365673,7.947278769,28,15.08775002,37,32.5
Int_Med_CDK4_nuc,5.743080222,4.004632082,8.954496992,6.234069766,65,100,1,33
Int_Med_DNA_nuc,4.835273873,6.327453044,9.530571287,6.897766068,52,34.50772644,14,33
Int_Med_cFos_nuc,6.237597892,2.449377,13.69260745,7.459860782,36,15.08158548,38,37
AreaShape_Area_cell,4.549386941,6.83716331,9.60010201,6.995550754,46,17.4047086,30,38
Int_MeanEdge_Fra1_cell,4.190639766,11.78449472,6.328583563,7.434572682,37,14.0805859,40,38.5
Int_Med_CDK6_nuc,7.616112982,5.822241411,7.125466101,6.854606831,53,21.57210823,24,38.5
Int_Med_p16_nuc,6.884545564,5.536325731,8.362765172,6.927878822,49,15.79166646,35,42
Int_Med_cycD1_cyto,5.376848705,6.224876978,10.29345011,7.298391931,38,11.44559392,54,46
Int_Med_GSK3b_nuc,7.991108006,4.444278108,8.45422884,6.963204985,48,12.8624942,46,47
Int_Med_p38_nuc,6.05155472,8.133542675,8.276151069,7.487082821,35,11.10755718,59,47
Int_Med_Bcl2_nuc,8.705268097,5.342916559,10.04675774,8.031647466,26,10.41584086,71,48.5
Int_Med_CDK2_cyto,4.366365148,6.364772192,6.575736425,5.768957921,84,28.82238043,15,49.5
Int_MeanEdge_Skp2_cell,7.041433507,6.355065492,8.07617766,7.157558886,42,10.97551989,61,51.5
Int_Med_cycA_cell,6.490616553,7.939731259,8.231620373,7.553989395,33,10.26590485,73,53
Int_Med_Skp2_cell,5.065647974,7.280772161,6.640669724,6.329029953,62,13.31582471,44,53
Int_Med_cycA_ring,4.707246403,11.01179449,6.08371573,7.26758554,39,10.50312082,68,53.5
Int_Med_cycD1_cell,3.668427686,8.870911037,11.18574226,7.908360326,29,10.15661412,79,54
Int_Med_pp65_nuc,8.241261074,4.6945328,6.445924497,6.46057279,60,11.89910679,50,55
Int_Med_YAP_nuc,6.578744052,4.768052071,6.655884687,6.000893603,76,15.90639274,34,55
Int_Med_pSTAT3_nuc,6.357812305,7.750133167,5.463166653,6.523704042,58,11.43926934,55,56.5
Int_Med_CDK2_cell,4.979487856,6.10639062,6.101666033,5.729181503,86,15.41453823,36,61
Int_Med_E2F1_cell,4.621470228,6.555643748,7.053008512,6.076707496,73,11.56666355,52,62.5
Int_Med_pGSK3b_nuc,9.464687048,7.865634473,3.694018861,7.008113461,45,10.15132809,80,62.5
AreaShape_Area_cyto,6.753508516,4.665566925,6.654702413,6.024592618,74,11.3902334,56,65
AreaShape_FormFactor_nuc,5.271017329,9.6051853,1.197387909,5.357863512,105,17.74820234,29,67
Int_MeanEdge_DNA_cell,4.543584616,7.254231384,5.879606342,5.892474114,80,11.24681886,57,68.5
Int_Med_p53_nuc,7.458461055,4.796735429,5.771622439,6.008939641,75,10.82149156,63,69
Int_Med_pCHK1_nuc,5.945257977,4.174163957,10.63999312,6.919805019,51,9.50623512,93,72
Int_MeanEdge_cycE_cell,3.63708658,6.409901706,6.059548838,5.368845708,103,13.57357532,42,72.5
Int_MeanEdge_CDK2_cell,4.356112939,5.170048844,6.563263438,5.363141741,104,13.52274831,43,73.5
Int_MeanEdge_cMyc_cell,4.225296551,5.924017589,10.74671139,6.965341844,47,9.236827258,101,74
Int_Med_pAKT_cell,5.178127075,3.874063952,7.057063207,5.369751411,102,11.48456199,53,77.5
Int_Med_Cdt1_ring,5.952105095,5.799204669,5.079458827,5.610256197,90,10.55551533,67,78.5
Int_Med_Cdh1_ring,5.933014502,5.968538835,11.13650436,7.679352564,32,8.434666094,126,79
Int_Med_pERK_cell,6.517984261,3.122089161,9.140528152,6.260200525,63,9.395930202,96,79.5
Int_Med_cycA_cyto,4.963771644,9.319575158,6.257720445,6.847022416,54,9.050379534,107,80.5
Int_MeanEdge_cJun_cell,5.744038613,3.783713949,6.82868997,5.45214751,98,10.74452993,65,81.5
Int_MeanEdge_pp38_cell,6.662517761,4.55746382,7.482463115,6.234148232,64,9.26971093,99,81.5
Int_Med_pp38_nuc,8.464711255,4.840748751,7.059419731,6.788293246,56,8.96558808,109,82.5
Int_MeanEdge_pERK_cell,2.834257873,5.602103644,8.482179772,5.639513763,89,10.18016038,78,83.5
Int_MeanEdge_YAP_cell,4.594197324,3.252309375,9.409634821,5.752047173,85,9.938284143,84,84.5
Int_MeanEdge_pS6_cell,5.428744884,5.03985237,5.955420352,5.474672535,95,10.23143897,75,85
Int_Med_E2F1_cyto,5.921021199,6.276421644,4.134351205,5.443931349,100,10.45552003,70,85
Int_MeanEdge_p53_cell,2.660987976,6.986827172,10.22136284,6.623059331,57,8.739059155,114,85.5
Int_MeanEdge_p38_cell,4.861499091,5.98147056,4.488581561,5.110517071,121,11.62301965,51,86
Int_Med_cycD1_ring,4.591489676,7.183434882,9.596183058,7.123702539,43,8.08670145,130,86.5
Int_Med_PCNA_cyto,4.573903602,6.444589892,13.25674805,8.091747181,24,7.326937348,153,88.5
Int_Med_p14ARF_cyto,3.633922537,6.656445187,8.285386888,6.191918204,67,8.844234645,111,89
Int_Med_BP1_nuc,4.472774058,3.419737078,6.845539315,4.912683483,133,12.41275335,48,90.5
Int_Med_E2F1_ring,6.065782862,6.098005177,5.155222534,5.773003524,83,9.377926537,98,90.5
Int_Med_pERK_nuc,5.153670332,4.546523742,4.160067956,4.620087343,157,20.65500672,25,91
Int_Med_cJun_cell,5.351082798,3.926306421,6.472306896,5.249898705,112,10.31959299,72,92
Int_Med_p16_ring,4.638459665,5.141471675,5.13893474,4.97295536,127,11.22426943,58,92.5
Int_Med_Fra1_nuc,5.465543513,4.53472249,3.938769573,4.646345192,155,16.76037886,32,93.5
Int_Med_Skp2_cyto,4.576559618,5.477667688,7.356242833,5.803490046,81,9.068716785,106,93.5
Int_Med_Cdh1_cyto,7.089235205,6.744838199,11.51917104,8.451081482,22,6.961684714,167,94.5
Int_Med_CDK2_ring,3.482156886,3.564826283,6.302353509,4.449778893,172,28.29670742,17,94.5
Int_Med_CDK6_cyto,4.284690372,6.0612052,6.675836684,5.673910752,87,9.19657132,103,95
Int_Med_bCat_nuc,7.001385668,5.494943762,7.908548372,6.801625934,55,7.93835617,136,95.5
Int_MeanEdge_bCat_cell,4.234536798,4.664506486,6.116390392,5.005144559,126,10.73713181,66,96
Int_Med_Cdt1_cyto,5.133414072,7.374902822,3.869436146,5.459251013,97,9.396485428,95,96
Int_Med_cJun_nuc,5.366616039,5.931588322,7.031439601,6.109881321,72,8.599209408,120,96
Int_Med_Cdh1_cell,6.246459553,6.408495292,13.61393323,8.756296024,19,6.650424377,175,97
Int_Med_pAKT_nuc,4.408158706,3.506120487,16.29585634,8.070045177,25,6.920436856,169,97
Int_MeanEdge_AKT_cell,4.876380993,1.551350065,7.371877356,4.599869471,160,13.63498564,41,100.5
Int_Med_PCNA_ring,4.65554456,4.546226551,12.33728296,7.179684689,41,7.132708708,162,101.5
Int_MeanEdge_E2F1_cell,5.612181547,3.26095071,6.199906847,5.024346368,125,10.13760505,81,103
Int_Med_pS6_cell,3.560924355,6.479058015,5.31161298,5.11719845,120,9.772596185,87,103.5
Int_Med_cMyc_cell,6.673128793,8.613038677,11.70855694,8.998241471,18,6.087950952,190,104
Int_Med_cMyc_cyto,5.33898415,5.623324429,7.524415864,6.162241481,68,7.744386799,140,104
Int_Med_p14ARF_cell,2.802958966,4.959926088,8.456446212,5.406443755,101,9.03880392,108,104.5
Int_Med_pS6_cyto,3.440108788,5.89283955,6.074447049,5.135798462,117,9.421007988,94,105.5
Int_MeanEdge_pGSK3b_cell,5.139579007,3.999834679,10.24588063,6.461764774,59,7.320127202,154,106.5
Int_Med_ERK_cell,4.278119589,5.82135676,7.898112647,5.999196332,77,7.903849703,137,107
Int_MeanEdge_CDK4_cell,3.796460655,5.604107182,7.254679346,5.551749061,93,8.564882942,122,107.5
Int_Med_pGSK3b_cell,4.893972656,5.561046113,6.210194714,5.555071161,92,8.55083563,123,107.5
Int_Med_Skp2_ring,4.085745667,6.721845983,7.676715442,6.161435698,69,7.609965309,147,108
Int_Med_p16_cell,4.576514507,4.692042297,5.237767432,4.835441412,140,9.884563053,85,112.5
Int_MeanEdge_pp27_cell,3.390127264,5.940231427,7.461474305,5.597277665,91,7.951778562,135,113
Int_MeanEdge_ERK_cell,4.721377796,5.46809084,2.904672564,4.364713733,182,13.1188493,45,113.5
Int_Med_bCat_cell,3.822362684,4.104106438,6.227439856,4.717969659,151,10.22256561,76,113.5
Int_Med_pERK_ring,3.76120665,3.68104118,6.83458404,4.758943957,147,9.94654262,82,114.5
Int_MeanEdge_GSK3b_cell,4.27374594,4.913671911,4.805654649,4.6643575,153,10.20132331,77,115
Int_Med_GSK3b_ring,3.440151859,4.33862151,8.041808822,5.273527397,111,8.584070436,121,116
Int_Med_p53_ring,5.864370059,4.496335441,5.00739978,5.12270176,119,8.755280201,113,116
Int_Med_AKT_cell,5.064455703,5.162100466,5.8339104,5.353488856,106,8.399636131,127,116.5
Int_Med_p14ARF_nuc,3.570011453,11.8348029,5.362993226,6.922602526,50,6.4426703,184,117
Int_Med_pp53_ring,5.177251468,6.002749779,5.153021317,5.444340855,99,7.524402291,148,123.5
Int_Med_S6_cell,5.338416651,5.223911403,4.810662775,5.124330276,118,8.231632674,129,123.5
Int_Med_pAKT_ring,4.464297096,4.432237055,5.847207185,4.914580445,131,8.639644428,117,124
Int_Med_p38_cyto,4.21218859,5.721569392,3.830295516,4.588017832,162,9.693986837,89,125.5
Int_Med_CDK4_cell,2.675696401,4.803078605,6.65140273,4.710059246,152,9.250202865,100,126
Int_Med_PCNA_cell,5.007772244,1.852645535,11.05964567,5.973354484,78,6.675077947,174,126
Int_Med_pS6_ring,2.17947852,3.733818028,6.058893367,3.990729971,206,12.80234569,47,126.5
Int_Med_RB_cell,6.404786625,4.80295541,6.669145398,5.958962478,79,6.650006906,176,127.5
Int_Med_p14ARF_ring,6.409691561,3.720139532,5.436049595,5.188626896,115,7.719599803,141,128
Int_Med_pRB_cyto,5.340603348,3.028849689,3.773221101,4.047558046,199,10.98520096,60,129.5
Int_Med_p16_cyto,5.165359603,3.844128079,4.337535639,4.449007774,173,9.703953346,88,130.5
Int_Med_Cdt1_cell,2.359417791,9.113823861,1.324462073,4.265901242,188,10.24825251,74,131
Int_Med_GSK3b_cell,4.552406451,4.158837873,5.605374201,4.772206175,145,8.61350898,118,131.5
Int_Med_p38_cell,3.961639959,6.719040494,4.946000956,5.208893803,114,7.493934178,149,131.5
Int_MeanEdge_Cdt1_cell,1.579874159,5.66039391,6.550370249,4.596879439,161,9.17776908,104,132.5
Int_Med_BP1_cell,6.889631142,5.745941689,4.313481365,5.649684732,88,6.593335202,177,132.5
Int_MeanEdge_cycA_cell,3.176547471,6.710269813,4.584335817,4.8237177,141,8.459549162,125,133
Int_Med_Fra1_cell,5.102856627,2.900390328,6.601748695,4.868331883,138,8.367971754,128,133
Int_Med_DNA_ring,3.805077452,4.933871863,5.968231523,4.902393613,135,7.982838006,134,134.5
Int_Med_cMyc_ring,3.733204646,6.112771038,7.485475391,5.777150358,82,6.180600715,188,135
Int_Med_RB_cyto,3.903286987,4.144912647,6.695407654,4.914535763,132,7.842785205,138,135
Int_MeanEdge_pH2AX_cell,3.729366107,3.215325426,4.344270065,3.762987199,223,12.2396941,49,136
Int_Med_cFos_cyto,3.184103846,5.391183233,8.058221035,5.544502705,94,6.553320445,179,136.5
Int_Med_DNA_cell,3.983482078,4.624748108,6.622618638,5.076949608,122,7.355755366,151,136.5
Int_MeanEdge_pAKT_cell,3.935825514,2.875351125,5.00649125,3.939222629,210,10.81435215,64,137
Int_Med_STAT3_cell,4.616701995,6.939349854,7.491224867,6.349092238,61,5.355882758,216,138.5
Int_Med_pH2AX_ring,4.900808932,3.516023151,5.020588553,4.479140212,168,8.793087813,112,140
Int_Med_pp27_nuc,2.667440805,6.48142177,12.53566828,7.22817695,40,2.339284963,241,140.5
Int_Med_pRB_cell,4.92708714,2.558499949,4.710350892,4.06531266,198,9.834603271,86,142
Int_Med_BP1_ring,3.44199374,6.093058666,5.602514097,5.045855501,124,7.142013136,161,142.5
Int_Med_pSTAT3_ring,5.601990489,5.794184377,7.296679296,6.230951387,66,5.130649551,220,143
Int_Med_pERK_cyto,3.073942532,2.065415107,7.549776151,4.229711263,190,9.394695276,97,143.5
Int_Med_pp21_ring,5.422758886,3.612416683,2.338503275,3.791226281,218,10.46546315,69,143.5
Int_Med_pSTAT3_cyto,3.788914468,4.76368602,5.825588843,4.792729777,143,7.635512832,144,143.5
Int_Med_RSK1_cell,2.212973257,4.891000494,4.949925471,4.017966408,202,9.520335918,92,147
Int_Med_p21_ring,6.513554762,5.308599357,4.586108579,5.469420899,96,5.95934856,199,147.5
Int_Med_CDK6_cell,1.731588475,5.138385909,3.01039853,3.293457638,236,10.83237743,62,149
Int_MeanEdge_p16_cell,6.308019912,3.584161515,1.588378884,3.826853437,216,9.945662274,83,149.5
Int_Med_bCat_cyto,2.264633286,5.145312775,6.936080943,4.782009002,144,7.280644559,156,150
Int_Med_pp65_ring,4.416551104,5.075697506,3.753315784,4.415188131,177,8.461639472,124,150.5
Int_MeanEdge_pSTAT3_cell,4.491030144,7.380157971,1.762081355,4.544423156,163,7.790812687,139,151
Int_Med_YAP_cell,4.912577642,9.580742644,3.876904591,6.123408292,71,3.646747566,232,151.5
Int_Med_pGSK3b_ring,4.106436741,4.751033815,2.800150909,3.885873822,213,9.542697729,91,152
Int_Med_p27_cyto,2.870858588,4.542496013,5.091888217,4.168414273,195,8.928345501,110,152.5
Int_Med_Bcl2_cyto,3.750555246,3.662571744,5.903914719,4.439013903,175,8.081106352,131,153
Int_Med_pp21_cell,5.514002618,6.126215593,4.206734688,5.282317633,109,6.020517415,197,153
Int_Med_CDK6_ring,3.777303399,3.598571201,4.601865428,3.992580009,205,9.21701238,102,153.5
Int_Med_RB_ring,4.331816945,3.875602507,6.568283786,4.925234413,130,6.590472348,178,154
Int_Med_YAP_cyto,4.390531886,7.323164908,1.010437457,4.241378084,189,8.604709048,119,154
Int_Med_pp38_cyto,3.767200054,3.151927772,4.449279335,3.789469054,219,9.649539535,90,154.5
Int_Med_AKT_ring,4.552440698,4.56130293,6.517787292,5.210510307,113,5.881536341,200,156.5
Int_Med_pH2AX_cyto,6.099088743,4.093136343,4.653959469,4.948728185,128,6.308663808,185,156.5
Int_Med_pRSK_cyto,4.602948656,4.470982445,4.736561156,4.603497419,159,7.3177616,155,157
Int_Med_pS6_nuc,6.77382029,5.160770802,6.520322823,6.151637972,70,2.01111787,244,157
Int_Med_YAP_ring,2.602797219,6.614160946,2.901019103,4.039325756,200,8.737576061,115,157.5
Int_MeanEdge_BP1_cell,5.777385175,4.912098232,3.591141915,4.760208441,146,6.787271224,172,159
Int_Med_pSTAT3_cell,2.469264751,5.131726953,7.025986643,4.875659449,136,6.453476798,183,159.5
Int_Med_cFos_ring,3.619001174,3.659617768,7.265245198,4.847954713,139,6.49407723,181,160
Int_Med_p53_cyto,2.290939883,5.505671542,5.625156483,4.473922636,170,7.334156293,152,161
Int_MeanEdge_pp65_cell,6.778063723,2.465630922,3.895121664,4.379605436,179,7.625389141,145,162
Int_Med_Fra1_cyto,4.182521849,4.586472185,4.301096673,4.356696902,183,7.640311553,143,163
Int_Med_p27_cell,4.342076436,6.779317157,4.757855729,5.293083107,107,4.857757245,224,165.5
Int_Med_pp65_cyto,4.857858258,4.419594185,1.971067252,3.749506565,227,9.104070251,105,166
Int_Med_cycE_ring,2.945900649,5.508186089,4.874773001,4.442953247,174,7.189318562,159,166.5
Int_MeanEdge_pRSK_cell,1.511229824,4.705846319,6.439568145,4.218881429,191,7.615419164,146,168.5
Int_Med_ERK_cyto,4.278393025,5.472839054,4.958421344,4.903217808,134,5.775804335,204,169
Int_Med_p53_cell,3.524616584,5.675011577,5.270231092,4.823286417,142,6.025346079,196,169
Int_Med_S6_cyto,4.617042613,5.636462287,4.930023513,5.061176138,123,5.36259887,215,169
Int_Med_STAT3_ring,3.980879051,6.811023426,5.069162742,5.28702174,108,3.999345299,230,169
Int_MeanEdge_cFos_cell,3.954342407,4.398625223,5.923335292,4.758767641,148,6.062426723,192,170
Int_Med_RSK1_nuc,4.802874802,4.212679762,5.190118955,4.735224506,149,6.0778274,191,170
Int_Med_pRB_ring,1.912822931,4.847989213,5.860981015,4.207264386,192,7.415241795,150,171
Int_MeanEdge_Bcl2_cell,3.48766111,4.518305642,6.602370953,4.869445902,137,5.756894156,206,171.5
Int_MeanEdge_PCNA_cell,3.482953079,5.407158457,4.247861178,4.379324238,180,7.002123757,164,172
Int_Med_S6_ring,5.639829939,2.073016688,4.328575641,4.013807423,203,7.652526973,142,172.5
Int_MeanEdge_CDK6_cell,3.956034959,5.163094924,6.721956471,5.280362118,110,2.374200332,240,175
Int_Med_cJun_cyto,4.037455443,4.380664306,7.143770406,5.187296719,116,2.53143767,239,177.5
Int_Med_cFos_cell,5.113432954,3.056479067,6.643999342,4.937970454,129,4.259959712,227,178
Int_Med_pAKT_cyto,2.825044523,1.949824537,3.7332236,2.836030887,243,8.719224304,116,179.5
Int_Med_CDK4_ring,3.040030903,3.052999114,4.921686514,3.671572177,229,8.061461617,132,180.5
Int_Med_DNA_cyto,1.893609958,4.684660634,5.461222496,4.013164363,204,7.202676863,157,180.5
Int_Med_pRSK_ring,5.62040087,2.521297386,5.295569546,4.479089267,169,6.048998658,195,182
Int_Med_STAT3_nuc,3.283974009,2.488224656,7.366758787,4.379652484,178,6.189714059,187,182.5
Int_Med_bCat_ring,4.428390569,3.458161052,5.664223316,4.516924979,164,5.843709677,202,183
Int_Med_Bcl2_ring,2.024431532,6.687929171,4.248076359,4.320145687,186,6.522821197,180,183
Int_Med_GSK3b_cyto,2.094015411,4.973784981,6.916145771,4.661315388,154,5.532895851,213,183.5
Int_Med_pp53_cell,5.127026853,4.348525253,4.351185113,4.608912406,158,5.599509017,211,184.5
Int_Med_pCHK1_cell,3.479630567,4.625305226,1.620924017,3.24195327,237,8.030686901,133,185
Int_Med_pGSK3b_cyto,2.109807968,3.482520261,6.102125555,3.898151261,212,7.202514745,158,185
Int_Med_p27_ring,3.780153643,6.904139551,2.804657739,4.496316978,167,5.760624014,205,186
Int_Med_cJun_ring,3.008065864,4.955792339,5.958090394,4.640649532,156,5.144600041,219,187.5
Int_Med_CDK4_cyto,1.990398343,5.789409538,4.10763449,3.96248079,207,6.896898123,170,188.5
Int_Med_RSK1_ring,3.000062886,6.364714434,3.951248371,4.43867523,176,5.847704591,201,188.5
Int_Med_ERK_ring,0.466779045,6.364609874,6.227033927,4.352807615,184,6.059434762,194,189
Int_Med_BP1_cyto,3.226747229,4.61508764,4.700806887,4.180880585,194,6.230569479,186,190
Int_Med_pp27_ring,4.780175454,4.471690943,4.907511524,4.71979264,150,3.295990008,233,191.5
Int_Med_cycE_cyto,0.788418578,4.609196563,6.097479345,3.831698162,215,6.87870512,171,193
Int_Med_p21_cell,4.167711245,3.237360041,3.929296088,3.778122458,221,7.000522546,165,193
Int_Med_cycE_cell,4.380908985,4.280948504,3.666062828,4.109306773,196,6.060401843,193,194.5
Int_MeanEdge_pp21_cell,2.61077954,2.956413701,7.950022707,4.505738649,165,4.21573133,228,196.5
Int_MeanEdge_S6_cell,1.228392583,5.011611003,4.423029029,3.554344205,233,7.183138245,160,196.5
Int_MeanEdge_Cdh1_cell,3.755378976,5.488056335,2.010734645,3.751389986,226,6.736544488,173,199.5
Int_Med_AKT_cyto,3.00033197,3.65365714,6.328515598,4.32750157,185,5.340961267,217,201
Int_MeanEdge_pp53_cell,4.089655489,4.307395168,0.782673994,3.059908217,240,7.04486255,163,201.5
Int_Med_pp21_cyto,3.78456162,3.962889278,4.551352578,4.099601159,197,5.74936505,207,202
Int_Med_pp27_cyto,3.561702793,6.030568526,3.904459648,4.498910322,166,2.532729713,238,202
Int_Med_pRSK_nuc,3.43779458,0.161654301,4.621071886,2.740173589,246,6.96678298,166,206
Int_Med_STAT3_cyto,2.261173929,1.976470593,4.188590828,2.808745117,244,6.953719779,168,206
Int_Med_p21_cyto,4.606689036,3.471827533,4.521745079,4.200087216,193,4.886215774,223,208
Int_Med_pCHK1_ring,4.899816441,2.554620201,5.938784323,4.464406988,171,1.450717529,245,208
Int_MeanEdge_p21_cell,4.111364474,4.804802475,2.946419063,3.954195338,208,5.658040689,210,209
Int_Med_pCHK1_cyto,4.255203538,4.82839229,3.743584004,4.275726611,187,3.899061743,231,209
Int_MeanEdge_STAT3_cell,3.747260161,3.062415167,3.991192084,3.600289137,232,6.158747207,189,210.5
Int_MeanEdge_RB_cell,5.091478126,1.913182831,4.358470287,3.787710415,220,5.815134773,203,211.5
Int_Med_pp65_cell,3.496845024,4.079475921,1.426932756,3.001084567,241,6.481544793,182,211.5
Int_Med_pRSK_cell,4.610570096,2.091667594,5.14502421,3.9490873,209,5.448579069,214,211.5
Int_MeanEdge_cycD1_cell,4.722397411,4.703702841,3.678470122,4.368190125,181,0,246,213.5
Int_MeanEdge_p27_cell,1.464521319,3.732351215,6.86783318,4.021568571,201,4.407191783,226,213.5
Int_MeanEdge_pRB_cell,2.518851485,5.399245965,2.947063372,3.621720274,230,6.001662814,198,214
Int_Med_pp53_cyto,4.348497148,1.182242796,6.267640856,3.9327936,211,4.617151054,225,218
Int_MeanEdge_p14ARF_cell,6.322829654,1.224463594,4.061260907,3.869518052,214,4.104846211,229,221.5
Int_MeanEdge_pCHK1_cell,4.965707897,4.424668985,1.433350606,3.607909163,231,5.248523141,218,224.5
Int_Med_Fra1_ring,5.696802524,2.219339198,0.716091866,2.877411196,242,5.716263298,208,225
Int_Med_p38_ring,2.766529231,3.833356578,4.480298945,3.693394918,228,4.975372695,222,225
Int_MeanEdge_RSK1_cell,4.28425377,0,5.228186975,3.170813582,239,5.563299964,212,225.5
Int_Med_pp27_cell,3.360661759,2.89968313,5.197937868,3.819427586,217,2.653658507,237,227
Int_Med_pp38_cell,4.147613066,2.551169172,1.603711701,2.76749798,245,5.675415096,209,227
Int_Med_pp38_ring,3.251090083,2.84711514,3.920578792,3.339594672,235,5.014416862,221,228
Int_Med_pH2AX_cell,4.802713214,2.51171513,3.954139323,3.756189222,224,3.224687871,234,229
AreaShape_FormFactor_cell,3.637199294,3.809633689,3.842243209,3.763025397,222,2.333647097,242,232
Int_Med_Bcl2_cell,3.628955363,2.732436161,4.901049991,3.754147172,225,2.232087614,243,234
Int_Med_RSK1_cyto,4.08804948,1.988468509,4.222098659,3.432872216,234,2.907494892,236,235
Int_Med_AKT_nuc,3.618338154,1.516389756,4.414512947,3.183080285,238,3.015289536,235,236.5
